sent_bytes,received_bytes,sent_packets,received_packets,byte_ratio,packet_ratio,connection_duration_sec,avg_recv_pkt_size,var_recv_pkt_size,avg_sent_pkt_size,var_sent_pkt_size,min_recv_delay_ms,avg_recv_delay_ms,max_recv_delay_ms
12113,19178,96,85,1.58325765706266,0.8854166666666666,18.995,225.6235294117648,87723.6899159664,126.17708333333336,6361.094627192985,0,158.96428571428572,4879
2534,8354,20,21,3.296764009471192,1.05,17.756,397.8095238095237,283279.26190476195,126.7,14562.53684210526,0,99.5,1806
12148,19087,96,91,1.571205136648008,0.9479166666666666,37.684,209.7472527472527,83312.3465201465,126.54166666666666,6320.671929824564,0,418.40000000000015,6943
2480,8439,19,21,3.4028225806451613,1.105263157894737,5.932,401.8571428571428,282222.42857142846,130.52631578947367,15062.485380116954,0,295.20000000000005,5250
